sample,dataset,carbon,hydrogen,oxygen,nitrogen,sulfur,HHV
Akhrot Shell,Training,49.81,5.64,42.94,0.41,0,20.008
Alabama Oak Wood Waste,Training,49.5,5.7,41.3,0.2,0,19.228
Alder,Training,47.82,5.8,46.25,0.11,0.02,18.299
Alfalfa,Training,45.1,4.97,35.6,3.3,0.16,18.151
Alfalfa Seed Straw,Training,46.76,5.4,40.72,1,0.02,18.45
Alfalfa Stalks,Training,45.4,5.75,40.2,2.04,0.1,18.465
Alfalfa Stems,Training,47.17,5.99,38.19,2.68,0.2,18.67
Alfalfa Straw,Training,45.7,5.7,39.7,1.7,0.2,18.271
Almond,Training,48.8,5.5,40.9,0.8,0,18.631
Almond Hull,Training,47.1,5.9,40,1.2,0.1,18.851
Almond Hulls,Training,47.53,5.97,39.16,1.13,0.06,18.89
Almond Hulls,Training,45.79,5.36,40.6,0.96,0.01,18.22
Almond Prunings,Training,51.3,5.29,40.9,0.66,0.01,20.01
Almond Shell,Training,48.8,5.9,43.7,0.5,0,19.92
Almond Shell,Testing,46.35,5.67,47.2,0.3,0.22,18.275
Almond Shells,Training,49.3,5.97,40.63,0.76,0.04,19.49
Almond Shells,Training,44.98,5.97,42.27,1.16,0.02,19.38
Almond Shells,Training,46.2,5.8,44.5,0.7,0,19.039
Almond Tree Branch,Training,47.35,6.36,45.47,0.65,0.16,18.351
Almond Tree Leaves,Testing,43.25,5.5,48.06,2.85,0.34,17.56
Almond Wood Chips,Training,46.9,5.5,36.2,0.6,0.1,18.49
Amaranth Wood,Training,42.2,5.01,38.3,2.3,0.18,16.37
Amaranth (Whole Crop),Training,40.9,4.7,39,1.7,0.3,16.47
American Oak Acorn,Training,44.68,5.98,48.55,0.6,0.18,17.372
Animal Waste ,Training,35.1,5.3,38.7,2.5,0.4,13.4
Animal Waste,Testing,42.7,5.5,49.1,2.4,0.3,17.173
Anthracite Coal,Training,86.78,1.63,1.96,0.65,0.92,31.84
Apple Tree Branch,Training,46.24,11.55,41.01,0.81,0.39,17.821
Apple Tree Leaves,Training,44.45,6.15,47.56,1.61,0.23,17.51
Arundo Donax(Giant Reed),Training,47.1,5.84,42.8,0.6,0.12,18.85
Asparagus Fern,Testing,46.4,6.1,37.3,1.8,0.5,18.851
Average Refuse,Training,35.66,4.8,29.52,0.89,0.14,14.404
Bagasse,Training,45.71,5.89,40.37,0,0,19.5
Bagasse,Training,44.8,5.35,39.55,0.38,0.01,17.33
Bagasse,Training,39.7,5.5,42.3,0.3,0,15.68
Bamboo Wood,Testing,48.76,6.32,42.77,0.2,0,20.547
Bamboo Wood Chips,Training,51.5,5.1,42,0.4,0,19.429
Banagrass,Training,45.1,5.42,37.9,0.84,0.11,17.522
Bark,Training,50.4,5.64,40.06,0.55,0.03,16.9
Barley,Training,41.59,6.08,50.18,1.79,0.35,16.519
Barley Straw,Testing,44.3,5.5,41.7,0.7,0.2,18.467
Barley Straw Waste,Training,40.69,6.95,50.5,1.64,0.23,17.369
Bean Straw,Training,42.97,5.59,44.93,0.83,0.01,17.46
Beech Chips,Training,48.26,5.82,45.67,0.22,0.03,18.659
