package,authors,imports,suggests,depends,Roxygen,gh,rforge,descr,r_count,r_size,ns_import,ns_export,s3_methods,s4_methods,doc_count,doc_size,src_count,src_size,data_count,data_size,testthat_count,testthat_size,check_time,status
A3,1,0,2,3,0,0,0,217,2,0.029053,3,0,3,0,0,0,0,0,2,0.025292,0,0,49,1
abbyyR,1,6,4,1,1,1,0,313,20,0.046336,15,19,0,0,3,0.019757,0,0,0,0,8,0.002496,101,1
abc,1,0,0,6,0,0,0,269,8,0.078374,6,0,11,0,1,0.038281,0,0,0,0,0,0,292,1
abc.data,1,0,0,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,3,4.885864,0,0,21,1
ABC.RAP,5,3,2,1,1,0,0,223,10,0.01908,4,10,0,0,1,0.007874,0,0,3,4.595504,0,0,103,1
ABCanalysis,3,1,0,1,0,0,0,1031,10,0.032607,5,0,0,0,0,0,0,0,1,0.0065,0,0,46,1
abcdeFBA,2,0,2,5,0,0,0,135,16,0.040209,0,0,0,0,0,0,0,0,10,0.409482,0,0,78,1
ABCoptim,1,4,2,0,1,1,0,344,3,0.020956,4,2,2,0,0,0,2,0.009263,0,0,1,4.94e-4,91,1
ABCp2,4,0,0,1,0,0,0,204,6,0.002787,2,0,0,0,0,0,0,0,4,0.00158,0,0,47,1
abcrf,6,7,0,1,0,0,0,335,14,0.047475,10,9,23,0,0,0,5,0.009996,2,1.816655,0,0,196,1
abctools,1,0,2,6,1,1,0,104,16,0.048023,5,3,0,0,0,0,3,0.005093,2,2.631951,0,0,200,1
abd,2,0,8,5,0,0,0,163,4,0.123385,6,4,0,0,0,0,0,0,146,0.126822,0,0,169,1
abe,1,0,0,0,1,0,0,425,1,0.104651,1,0,2,0,0,0,0,0,0,0,0,0,45,1
abf2,1,0,0,0,0,0,0,156,1,0.021366,0,1,5,0,0,0,0,0,0,0,0,0,28,1
ABHgenotypeR,1,3,2,0,1,1,0,145,11,0.029312,2,10,0,0,1,0.010608,0,0,0,0,0,0,94,1
abind,1,2,0,1,0,0,0,276,5,0.025216,2,0,4,0,0,0,0,0,0,0,0,0,32,1
abjutils,1,14,1,1,1,1,0,496,7,0.019942,1,16,0,0,0,0,0,0,0,0,3,0.002703,66,1
abn,1,2,3,5,1,0,0,1434,19,0.253016,11,0,0,0,0,0,54,0.712125,10,0.637094,3,0.030213,219,1
abnormality,1,2,0,0,1,0,0,1422,3,0.006673,0,2,0,0,0,0,0,0,0,0,0,0,30,1
abodOutlier,1,0,0,2,0,0,0,345,1,0.004688,1,0,0,0,0,0,0,0,0,0,0,0,32,1
ABPS,1,1,1,0,1,0,0,496,3,0.015822,0,2,0,0,0,0,0,0,2,0.001576,2,0.005106,44,1
AbsFilterGSEA,1,5,0,0,1,0,0,918,2,0.012621,8,1,0,0,0,0,2,0.019915,1,0.080937,0,0,10,0
AbSim,1,0,2,3,1,0,0,592,6,0.070034,2,3,0,0,1,0.020156,0,0,0,0,0,0,84,1
abundant,1,0,0,2,0,0,0,163,6,0.00843,1,1,0,0,0,0,1,7.19e-4,0,0,0,0,48,1
Ac3net,1,0,0,2,0,0,0,194,9,0.017562,2,0,0,0,0,0,0,0,3,1.323815,0,0,53,1
ACA,1,4,0,1,1,0,0,74,3,0.027469,20,1,0,0,0,0,0,0,0,0,0,0,44,1
acc,2,12,0,2,1,0,0,171,20,0.085476,69,15,2,0,0,0,8,0.007692,1,0.16245,0,0,196,1
accelerometry,1,2,3,1,1,0,0,372,11,0.081959,2,14,0,0,1,0.012538,12,0.054655,2,0.075937,0,0,87,1
accelmissing,1,0,0,3,0,0,0,428,1,0.028559,1,0,0,0,0,0,0,0,3,4.833794,0,0,141,1
AcceptanceSampling,1,2,0,3,0,0,0,127,3,0.045929,3,2,0,1,1,0.039831,0,0,0,0,0,0,51,1
ACCLMA,2,0,0,0,0,0,0,442,1,0.007524,0,0,0,0,0,0,0,0,0,0,0,0,32,1
accrual,7,2,0,2,0,0,0,562,12,0.023119,3,0,0,0,0,0,0,0,0,0,0,0,144,1
accrued,1,0,0,2,0,0,0,64,13,0.050066,4,0,7,0,0,0,0,0,2,0.003259,0,0,38,1
accSDA,1,7,0,1,1,1,0,642,22,0.131283,0,8,8,0,0,0,0,0,0,0,0,0,57,1
ACD,4,0,0,1,0,0,0,60,1,0.09723,0,0,14,0,0,0,0,0,0,0,0,0,58,1
ACDm,1,6,2,1,0,0,0,227,21,0.139733,5,1,4,0,0,0,12,0.079171,4,0.979896,0,0,186,1
acebayes,2,4,1,2,0,0,0,95,1,0.092656,7,1,11,0,0,0,4,0.040202,0,0,0,0,165,1
acepack,6,0,1,0,0,0,0,1004,2,0.006426,0,0,0,0,0,0,3,0.042977,0,0,1,7.81e-4,54,1
ACEt,1,3,0,1,0,0,0,166,14,0.101579,5,5,0,0,0,0,8,0.104321,1,0.07821,0,0,98,1
acid,1,4,1,6,0,0,0,492,40,0.037282,1,0,0,0,0,0,0,0,3,0.13609,0,0,154,1
acm4r,3,0,0,1,0,0,0,151,10,0.08241,0,6,0,0,0,0,0,0,0,0,0,0,44,1
ACMEeqtl,1,1,3,2,0,1,0,447,4,0.027584,4,1,0,0,1,0.005521,1,0.011865,0,0,0,0,80,0
acmeR,1,5,2,1,0,0,0,531,15,0.080706,5,3,0,0,1,0.012583,0,0,1,0.003898,0,0,140,1
ACNE,1,7,1,2,0,1,0,148,18,0.048294,42,0,7,0,0,0,0,0,0,0,0,0,97,1
acnr,1,0,4,1,1,1,0,203,6,0.013318,0,4,0,0,2,0.006449,0,0,0,0,4,0.003249,73,1
acopula,1,0,1,0,0,0,0,531,1,0.07244,2,0,4,0,0,0,0,0,0,0,0,0,41,1
AcousticNDLCodeR,1,4,0,1,1,0,0,684,5,0.018413,7,8,0,0,0,0,0,0,1,0.354636,0,0,61,1
acp,1,0,0,2,0,0,0,149,1,0.015989,4,0,6,0,0,0,0,0,1,2.39e-4,0,0,66,1
aCRM,5,4,0,0,0,0,0,75,6,0.003037,0,4,1,0,0,0,0,0,1,0.010657,0,0,52,1
AcrossTic,2,0,0,2,0,0,0,122,5,0.011135,2,0,0,0,0,0,0,0,0,0,0,0,33,1
acrt,1,4,0,0,0,0,0,125,5,0.020609,1,1,0,0,0,0,8,0.01382,0,0,0,0,80,1
acs,1,5,0,4,0,0,0,534,1,0.102042,9,0,6,1,0,0,0,0,10,0.717453,0,0,98,1
ACSNMineR,1,0,2,4,1,0,0,758,3,0.044619,8,5,0,0,2,0.007895,0,0,3,0.054744,0,0,95,1
acss,1,1,2,2,0,0,0,555,6,0.017488,2,11,0,0,0,0,0,0,3,0.004784,2,0.004285,82,1
acss.data,1,0,0,1,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1
ACSWR,1,1,0,0,0,0,0,174,32,0.010174,3,0,0,0,0,0,0,0,56,0.038257,0,0,60,1
ACTCD,2,3,0,2,1,0,0,471,10,0.019123,3,1,3,0,0,0,2,0.002928,4,0.078861,0,0,122,1
Actigraphy,6,1,1,2,0,0,0,60,7,0.00947,4,0,0,0,3,0.011166,0,0,6,0.139623,0,0,130,1
ActisoftR,1,10,9,1,1,1,0,312,15,0.062763,47,15,0,0,1,0.014201,0,0,1,0.007239,0,0,124,1
ActiveDriver,1,3,0,1,1,0,0,711,1,0.022211,0,2,0,0,0,0,0,0,1,0.130929,0,0,43,1
activity,1,2,0,1,1,0,0,292,1,0.037117,0,11,2,0,0,0,0,0,2,0.120545,0,0,72,1
ActivityIndex,1,4,4,1,1,0,0,148,7,0.015505,6,4,3,0,1,0.007981,0,0,1,0.026324,1,4.86e-4,116,1
activpalProcessing,1,1,0,5,0,0,0,210,19,0.050615,3,0,0,0,0,0,0,0,9,1.358113,0,0,58,1
actogrammr,1,5,2,0,1,0,0,354,3,0.006608,1,3,0,0,0,0,0,0,0,0,1,8.39e-4,86,1
actuar,1,3,1,1,0,0,0,576,74,0.212937,3,1,46,0,7,0.175107,54,0.273234,3,0.001392,0,0,148,1
AcuityView,3,7,0,1,1,0,0,197,1,0.014543,12,2,0,0,0,0,0,0,0,0,0,0,63,1
ada,3,0,0,2,0,0,0,266,13,0.022027,4,1,8,0,0,0,0,0,1,0.644344,0,0,36,1
adabag,4,0,1,4,0,0,0,1449,20,0.040778,4,0,4,0,0,0,0,0,0,0,0,0,209,1
adagio,1,2,0,1,0,0,0,240,18,0.047158,2,14,0,0,0,0,5,0.03169,0,0,0,0,49,1
adamethods,2,9,2,1,1,0,0,247,54,0.26014,17,41,0,0,0,0,0,0,0,0,0,0,185,1
AdapEnetClass,1,0,0,5,0,0,0,60,9,0.019313,4,0,0,0,0,0,0,0,1,0.38364,0,0,107,1
adapr,2,17,1,1,1,0,0,483,96,0.238381,1,133,0,0,1,0.019611,0,0,0,0,0,0,82,1
AdapSamp,1,2,0,0,1,0,0,505,4,0.020177,3,4,0,0,0,0,0,0,0,0,0,0,40,1
adaptalint,1,3,3,1,1,0,0,198,2,0.004341,3,4,0,0,0,0,0,0,7,0.002725,1,0.001149,68,1
AdaptFit,1,0,0,4,0,0,0,131,10,0.041221,1,0,0,0,0,0,0,0,1,0.108791,0,0,80,1
AdaptFitOS,1,2,0,3,0,0,0,699,30,0.146918,3,1,11,0,0,0,7,0.025172,0,0,0,0,149,1
AdaptGauss,7,4,2,1,0,0,0,544,22,0.114051,11,0,0,0,0,0,0,0,0,0,0,0,84,1
adaptiveGPCA,1,4,2,1,1,0,0,277,5,0.031701,15,8,2,0,1,0.011581,0,0,2,0.734043,0,0,289,1
AdaptiveSparsity,3,3,0,1,0,0,0,533,2,0.009236,3,11,10,0,0,0,4,0.009183,0,0,0,0,118,1
adaptivetau,1,0,0,1,0,0,0,330,1,0.002325,0,1,0,0,1,0.017439,3,0.062705,0,0,0,0,55,1
adaptMCMC,3,0,0,4,1,1,0,354,1,0.00871,5,0,0,0,0,0,0,0,0,0,0,0,65,1
adaptMT,1,1,8,0,1,1,0,299,17,0.084704,27,14,0,0,1,0.02794,0,0,1,0.347097,1,0.001775,362,1
adaptsmoFMRI,1,0,0,7,0,0,0,326,8,0.083111,1,0,0,0,0,0,0,0,2,1.20976,0,0,87,1
adaptTest,1,0,0,1,0,0,0,385,86,0.021775,0,1,0,0,0,0,0,0,0,0,0,0,44,1
AdaSampling,1,5,2,1,1,1,0,230,4,0.019883,4,3,0,0,1,0.003265,0,0,1,0.00223,0,0,171,1
ADCT,1,2,2,0,0,0,0,259,2,0.011727,2,5,0,0,0,0,0,0,0,0,0,0,51,1
addhaz,1,0,0,5,1,0,0,234,3,0.05156,4,0,6,0,0,0,0,0,1,0.05693,0,0,77,1
addhazard,1,3,0,1,1,0,0,447,10,0.059485,11,3,6,0,0,0,0,0,1,0.042273,0,0,66,1
addinslist,1,11,0,1,1,1,0,121,2,0.013422,1,1,0,0,0,0,0,0,0,0,0,0,54,1
additiveDEA,1,1,0,2,1,0,0,1075,3,0.019282,3,0,0,0,0,0,0,0,0,0,0,0,37,1
additivityTests,3,0,1,0,0,1,0,107,9,0.018593,0,7,1,0,1,0.002742,0,0,1,1.54e-4,0,0,58,1
addreg,1,4,0,1,0,1,0,153,32,0.096257,3,21,10,0,0,0,0,0,0,0,0,0,79,1
ADDT,4,0,0,3,1,0,0,1039,1,0.070525,6,0,4,0,0,0,0,0,4,0.002541,0,0,98,1
ade4,10,6,12,1,0,0,0,425,188,0.872542,6,24,158,0,0,0,12,0.172359,108,2.620105,0,0,428,1
ade4TkGUI,3,7,1,2,0,0,0,60,30,0.396874,8,0,0,0,0,0,0,0,0,0,0,0,105,1
adeba,2,5,2,0,1,1,0,149,5,0.025268,19,12,7,0,0,0,3,0.003873,0,0,1,0.001857,160,1
adegenet,15,15,8,3,1,1,0,594,68,0.672974,64,54,90,3,0,0,9,0.066576,10,1.319188,15,0.033411,299,1
adegraphics,2,10,7,1,0,0,0,155,58,0.575661,11,1,52,1,1,0.056485,0,0,0,0,0,0,405,1
adehabitatHR,2,3,4,7,0,0,0,63,20,0.123903,4,45,12,1,1,0.089466,2,0.090548,0,0,0,0,126,1
adehabitatHS,2,3,4,6,0,0,0,60,37,0.132834,4,52,28,0,1,0.102041,2,0.070897,9,0.249296,0,0,109,1
adehabitatLT,2,3,3,7,0,0,0,59,60,0.146893,4,94,24,0,1,0.100198,2,0.128665,14,0.557324,0,0,133,1
adehabitatMA,2,5,3,3,0,0,0,47,24,0.052624,5,25,9,1,1,0.024108,2,0.051347,2,0.211236,0,0,80,1
adephylo,3,3,0,2,1,0,0,104,14,0.156017,31,17,9,0,1,0.023479,8,0.069541,9,0.014056,0,0,264,1
