species,temp,rate
O. exclamationis,20.8,67.9
O. exclamationis,20.8,65.1
O. exclamationis,24,77.3
O. exclamationis,24,78.7
O. exclamationis,24,79.4
O. exclamationis,24,80.4
O. exclamationis,26.2,85.8
O. exclamationis,26.2,86.6
O. exclamationis,26.2,87.5
O. exclamationis,26.2,89.1
O. exclamationis,28.4,98.6
O. exclamationis,29,100.8
O. exclamationis,30.4,99.3
O. exclamationis,30.4,101.7
O. niveus,17.2,44.3
O. niveus,18.3,47.2
O. niveus,18.3,47.6
O. niveus,18.3,49.6
O. niveus,18.9,50.3
O. niveus,18.9,51.8
O. niveus,20.4,60
O. niveus,21,58.5
O. niveus,21,58.9
O. niveus,22.1,60.7
O. niveus,23.5,69.8
O. niveus,24.2,70.9
O. niveus,25.9,76.2
O. niveus,26.5,76.1
O. niveus,26.5,77
O. niveus,26.5,77.7
O. niveus,28.6,84.7
