funded_amnt,term,int_rate,sub_grade,addr_state,verification_status,annual_inc,emp_length,delinq_2yrs,inq_last_6mths,revol_util,acc_now_delinq,open_il_6m,open_il_12m,open_il_24m,total_bal_il,all_util,inq_fi,inq_last_12m,delinq_amnt,num_il_tl,total_il_high_credit_limit,Class
16100,term_36,13.99,C4,CT,Not_Verified,35000,emp_5,0,0,67.4,0,1,0,0,1099,48,0,3,0,3,13193,good
32000,term_60,11.99,C1,MN,Verified,72000,emp_ge_10,0,0,82.2,0,5,1,3,49187,77,0,0,0,9,65945,good
10000,term_36,16.29,D1,OH,Source_Verified,72000,emp_ge_10,0,2,74.2,0,3,2,3,33378,79,1,4,0,9,39387,good
16800,term_60,13.67,C3,NV,Verified,101000,emp_lt_1,0,0,64,0,6,1,2,55445,64,1,4,0,10,60188,good
3500,term_36,7.39,A4,CA,Source_Verified,50100,emp_unk,0,0,78.3,0,0,0,0,0,78,0,0,0,3,0,good
10000,term_36,11.47,B5,TX,Source_Verified,32000,emp_lt_1,0,0,68.1,0,1,0,0,7574,66,0,0,0,9,12131,good
11000,term_36,5.32,A1,KY,Not_Verified,65000,emp_4,0,0,54.8,0,2,0,0,20998,54,0,0,0,7,39486,good
15000,term_36,9.16,B2,MO,Not_Verified,188000,emp_6,2,0,33.3,0,8,2,5,170814,80,0,4,0,21,177477,good
6000,term_36,9.8,B3,NY,Source_Verified,89000,emp_ge_10,0,2,72.3,0,1,0,0,19616,75,2,6,0,7,26129,good
20000,term_60,12.99,C2,GA,Not_Verified,48000,emp_ge_10,1,0,36,0,0,0,0,0,36,1,1,0,1,0,good
10000,term_36,13.67,C3,NH,Source_Verified,40000,emp_9,0,3,21.9,0,3,1,1,11089,43,1,3,0,7,22263,good
10000,term_36,18.25,D3,SC,Verified,75000,emp_8,0,3,78.3,0,1,2,5,24174,78,1,5,0,19,30999,good
10000,term_36,14.85,C5,AZ,Source_Verified,80000,emp_8,0,0,79.2,0,2,1,1,4650,70,0,1,0,7,8125,bad
25750,term_36,13.67,C3,MI,Not_Verified,56000,emp_1,1,0,38.6,0,1,0,0,5744,44,1,0,0,6,8029,good
15000,term_60,15.77,D1,TX,Verified,65000,emp_6,0,1,69.3,0,2,4,6,29045,81,7,5,0,9,34381,good
15600,term_60,9.16,B2,TX,Not_Verified,39676,emp_ge_10,0,0,59.2,0,2,0,1,9608,45,1,2,0,4,29820,good
18000,term_60,18.99,E1,OK,Source_Verified,65000,emp_ge_10,0,0,79.6,0,2,1,2,28944,80,0,4,0,15,29337,good
20000,term_36,10.75,B4,TN,Verified,75000,emp_lt_1,0,0,87.8,0,2,0,1,55392,79,0,0,0,4,67283,good
7000,term_36,12.99,C2,CA,Source_Verified,73400,emp_ge_10,0,2,43.4,0,1,0,1,7203,40,0,7,0,4,18796,good
19350,term_36,11.47,B5,MI,Source_Verified,89000,emp_7,0,0,54.3,0,5,0,0,24947,68,0,1,0,9,31139,good
20000,term_36,8.39,B1,NJ,Source_Verified,108000,emp_4,0,0,53.9,0,7,0,0,27936,60,0,1,0,8,42348,good
