Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Data_scientist,Database_administrator,Desktop_applications_developer,Developer_with_stats_math_background,DevOps,Embedded_developer,Graphic_designer,Graphics_programming,Machine_learning_specialist,Mobile_developer,Quality_assurance_engineer,Systems_administrator,Web_developer
United Kingdom,100000,20,0,1,5000,Remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,130000,20,1,1,1000,Remote,9,0,0,0,0,1,1,0,0,0,0,1,0,1
United States,175000,16,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,64516.1290322581,4,0,0,1000,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
India,6636.32359418588,1,0,1,5000,Not remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,65000,1,0,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000,13,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,53763.4408602151,4,1,0,5000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,109400,7,1,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,0
Germany,83870.9677419355,17,1,1,20,Not remote,9,0,0,1,1,0,0,0,0,0,0,0,0,0
United States,51000,1,0,0,20,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,32500,1,1,0,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,30000,1,0,1,20,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,90000,10,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,115000,4,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,93000,9,0,0,500,Not remote,7,0,0,1,1,1,0,0,0,0,0,1,0,0
United States,92500,14,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United Kingdom,32500,2,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,43750,1,1,1,1,Not remote,5,1,1,1,1,0,0,1,1,0,0,0,0,1
United Kingdom,113750,20,1,1,20,Not remote,9,0,0,1,0,1,0,0,0,0,1,0,0,1
United States,80000,5,0,0,500,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,100000,14,0,1,20,Not remote,7,0,1,0,0,1,0,0,0,0,0,0,1,1
United States,120000,4,0,1,20,Not remote,10,0,1,1,1,1,0,0,0,0,1,0,1,1
United Kingdom,131250,14,0,0,20,Not remote,10,0,0,0,0,0,0,1,1,0,1,0,0,1
India,6606.95933049479,1,1,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,10752.688172043,1,0,1,10,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1
Canada,87121.2121212121,10,0,0,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,54545.4545454545,8,0,0,1000,Not remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1
United States,50000,15,1,1,1,Remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1
United States,50000,2,1,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,1,0,0,1
United States,185000,20,1,0,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,160000,11,1,1,500,Remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,63000,6,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,67000,6,0,1,1000,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,103000,15,1,1,500,Remote,8,0,1,0,0,0,0,0,0,0,0,0,0,0
United States,65000,2,0,1,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,63750,17,0,1,500,Not remote,5,0,0,1,0,1,0,0,0,0,0,0,0,1
United States,115000,8,1,0,20,Remote,6,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,170000,18,0,1,10000,Remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,81060.6060606061,17,1,1,1000,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,0
United Kingdom,77500,10,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,97000,9,0,1,100,Remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,120000,7,1,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,59139.7849462366,5,0,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0
United Kingdom,75000,8,1,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,53763.4408602151,5,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000,4,1,1,10000,Remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
United States,85000,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,38484.8484848485,2,0,1,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,165000,8,0,1,10000,Not remote,9,0,0,0,1,0,0,0,0,0,0,0,0,0
United States,100000,5,0,1,1,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,61000,7,0,0,1000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,150000,20,1,1,1000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
Germany,47311.8279569892,2,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000,20,0,0,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,88000,1,0,1,20,Not remote,2,0,0,0,1,0,0,0,0,0,0,0,0,1
Germany,40000,3,1,1,20,Not remote,7,1,0,0,0,0,0,0,0,0,0,0,1,1
United Kingdom,150000,17,1,1,1000,Not remote,8,1,0,0,0,0,0,0,0,1,0,0,0,0
United States,137500,8,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000,13,0,1,500,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
India,5652.62076053443,2,0,0,10000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United Kingdom,62500,14,0,1,1,Remote,7,1,0,1,0,1,0,0,0,0,0,0,1,1
United States,110000,17,0,1,5000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,82000,3,1,0,10000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
India,7752.16561444722,2,1,1,20,Not remote,10,0,0,0,1,0,0,0,0,0,0,0,0,1
United States,104000,3,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,37878.7878787879,4,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,52500,3,1,1,500,Not remote,7,1,0,1,1,1,0,0,1,1,0,0,0,0
United States,100501,15,0,1,500,Not remote,0,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,93000,8,0,1,20,Remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,90000,9,1,1,1000,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,0,1
Canada,53030.303030303,7,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,99478.7878787879,20,0,0,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,75000,1,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,95000,7,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,73200,10,0,1,10,Remote,8,0,1,0,0,1,0,0,0,0,0,0,1,1
United States,140000,15,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,86000,20,0,1,1,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
India,11745.7054764352,5,1,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000,2,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
United States,160000,10,1,1,20,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
United Kingdom,32000,3,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,35483.8709677419,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,1,0,0,0,0,1
United States,60000,3,0,0,100,Not remote,5,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,106400,19,0,1,1000,Remote,6,0,0,1,0,0,0,0,0,0,0,0,1,1
India,9396.56438114814,4,0,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,135000,7,0,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,77000,7,0,1,20,Not remote,4,0,0,1,1,0,0,0,0,0,0,0,0,0
United States,105000,2,0,1,5000,Not remote,9,0,0,0,0,0,0,0,0,0,0,1,0,0
United States,62000,6,0,1,100,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,150000,18,1,1,5000,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,65000,5,0,0,1000,Not remote,9,0,1,0,0,0,0,0,0,0,0,0,0,1
United States,115000,20,1,1,100,Remote,9,0,0,1,0,0,0,0,0,0,1,0,0,1
Canada,40909.0909090909,5,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,125000,7,1,1,10,Remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,95000,20,0,1,20,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,88000,8,1,1,20,Remote,8,0,0,0,0,0,0,1,0,0,0,0,0,1
United States,117250,20,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,155000,12,1,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,63636.3636363636,5,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,1,1
United States,95000,8,1,1,20,Not remote,5,0,0,1,1,1,1,0,0,1,0,0,1,0
United States,85000,12,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,62000,4,0,0,1,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,160000,19,0,1,20,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,93000,12,0,0,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,95000,3,1,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0
Canada,49242.4242424242,4,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,1,1
United States,100000,20,1,1,10000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,1,1
United States,107000,13,0,1,10000,Not remote,7,0,1,1,1,0,0,0,0,0,1,0,0,1
India,2114.22698575833,2,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,35483.8709677419,3,0,1,1000,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,1,1
India,11011.598884158,2,1,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,116000,9,0,1,10000,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,49677.4193548387,4,0,1,1000,Not remote,5,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,72000,3,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,178000,16,0,0,10000,Remote,7,0,1,0,0,0,0,0,0,0,0,0,0,0
United States,111000,8,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,63440.8602150538,6,0,1,20,Remote,9,1,0,0,1,0,0,0,0,1,0,0,0,0
United States,90000,1,0,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000,5,0,1,1000,Not remote,10,0,1,1,0,0,1,0,0,0,0,0,0,1
United States,100000,13,0,0,20,Not remote,8,0,0,1,0,0,1,0,1,0,1,0,0,0
Canada,90909.0909090909,20,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,94000,5,1,0,10000,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0
