truth,Class1,Class2,predicted
Class2,0.0035892426220289543,0.996410757377971,Class2
Class1,0.6786210539946287,0.32137894600537126,Class1
Class2,0.11089352214786671,0.8891064778521334,Class2
Class1,0.7351617030632877,0.2648382969367123,Class1
Class2,0.016239960318148578,0.9837600396818514,Class2
Class1,0.999275071408989,7.249285910110705e-4,Class1
Class1,0.9992011489515121,7.988510484878082e-4,Class1
Class1,0.812351997446325,0.18764800255367506,Class1
Class2,0.45703725949874985,0.5429627405012502,Class2
Class2,0.09763773422251405,0.902362265777486,Class2
Class2,0.9046454806245622,0.09535451937543775,Class1
Class1,0.29797922085809864,0.7020207791419013,Class2
Class1,0.9945819553660618,0.005418044633938185,Class1
Class2,0.8511497990180582,0.14885020098194188,Class1
Class1,0.999996507450328,3.492549672023912e-6,Class1
Class1,0.9919162772974176,0.008083722702582483,Class1
Class2,4.2508340540238997e-4,0.9995749165945976,Class2
Class2,0.11495492747105233,0.8850450725289476,Class2
Class1,0.8259702531291555,0.1740297468708446,Class1
Class2,0.06836781026079629,0.9316321897392038,Class2
Class1,0.9350962852388166,0.06490371476118344,Class1
Class1,0.9999720121973261,2.7987802673880384e-5,Class1
Class2,0.2220960348816536,0.7779039651183464,Class2
Class2,0.20768859649285532,0.7923114035071447,Class2
Class2,0.02395558488416883,0.9760444151158312,Class2
Class1,0.9998815962948668,1.1840370513316746e-4,Class1
Class1,0.9811622837022007,0.0188377162977994,Class1
Class1,0.9835187818184975,0.01648121818150248,Class1
Class2,0.005225484063796309,0.9947745159362036,Class2
Class2,0.0421453435077146,0.9578546564922855,Class2
Class2,0.00290559786756138,0.9970944021324386,Class2
Class1,0.9978971842819971,0.0021028157180028907,Class1
Class2,0.8299197828621196,0.1700802171378803,Class1
Class1,0.8055859269523395,0.19441407304766045,Class1
Class2,3.295136981168937e-5,0.9999670486301884,Class2
Class2,1.6120665657634543e-4,0.9998387933434237,Class2
Class2,0.11991052458136409,0.8800894754186359,Class2
Class1,0.08222817775484069,0.9177718222451593,Class2
Class1,0.9234837040419681,0.0765162959580319,Class1
Class2,0.009966766596446672,0.9900332334035533,Class2
Class1,0.9439621897134324,0.05603781028656759,Class1
Class2,0.015920825428017024,0.984079174571983,Class2
Class1,0.00922377638637953,0.9907762236136204,Class2
Class2,0.002360050418013578,0.9976399495819863,Class2
Class2,0.0074743914891967096,0.9925256085108034,Class2
Class2,0.6738986299843349,0.3261013700156651,Class1
Class2,0.06333998169733548,0.9366600183026644,Class2
Class2,0.005023865925205283,0.9949761340747948,Class2
Class2,0.018108064680857038,0.981891935319143,Class2
Class1,0.9912743376096294,0.00872566239037065,Class1
Class1,0.8945705034557935,0.10542949654420641,Class1
Class1,0.9961046032790773,0.003895396720922594,Class1
Class1,0.8429632444130188,0.15703675558698113,Class1
Class1,0.9973946859064813,0.002605314093518755,Class1
Class2,0.5019504978286617,0.4980495021713382,Class1
Class1,0.9838037057607955,0.01619629423920458,Class1
Class2,0.012212305281284693,0.9877876947187152,Class2
Class2,0.001328123791713095,0.9986718762082868,Class2
Class2,0.009365284588934718,0.9906347154110653,Class2
Class2,0.012960954352119297,0.9870390456478807,Class2
Class2,0.03884927098627872,0.9611507290137213,Class2
Class1,0.9992216313015566,7.783686984433888e-4,Class1
Class1,0.9623572167628935,0.03764278323710639,Class1
Class1,0.9840572002470037,0.015942799752996353,Class1
Class1,0.9981712013675926,0.0018287986324074126,Class1
Class1,0.9986847556480131,0.0013152443519869562,Class1
Class1,0.9963866652336811,0.0036133347663189017,Class1
Class2,0.0582556875654949,0.9417443124345051,Class2
Class2,0.0011737391723902308,0.9988262608276098,Class2
Class2,0.7943867402522254,0.20561325974777458,Class1
Class1,0.9988567884924425,0.0011432115075573946,Class1
Class2,0.5815015099595879,0.41849849004041206,Class1
Class1,0.9979430935973926,0.0020569064026074294,Class1
Class2,0.5522744775287005,0.4477255224712995,Class1
Class1,0.9847016740423193,0.015298325957680629,Class1
Class2,1.429374894578104e-5,0.9999857062510542,Class2
Class1,0.10094358675495761,0.8990564132450423,Class2
Class2,0.85613909657861,0.14386090342139007,Class1
Class2,0.40746020368616465,0.5925397963138354,Class2
Class1,0.3139247579007981,0.6860752420992019,Class2
Class1,0.6019318738025591,0.398068126197441,Class1
Class2,0.03630955306824319,0.9636904469317568,Class2
Class2,0.3096081799040318,0.6903918200959681,Class2
Class1,0.9482743715178866,0.05172562848211331,Class1
Class1,0.9844006913555863,0.01559930864441379,Class1
Class1,0.9794735726255758,0.02052642737442423,Class1
Class2,2.3754510921279846e-5,0.9999762454890787,Class2
Class1,0.7990447382532607,0.20095526174673925,Class1
Class2,8.035155050774837e-5,0.9999196484494923,Class2
Class1,0.8534425154458711,0.14655748455412893,Class1
Class1,0.9964761408149841,0.003523859185015892,Class1
Class2,0.057571298065243054,0.942428701934757,Class2
Class2,1.0332646845935241e-4,0.9998966735315407,Class2
Class1,0.13670682487792082,0.8632931751220791,Class2
Class1,0.9995170395759972,4.8296042400280834e-4,Class1
Class1,0.9863939019237219,0.013606098076278066,Class1
Class1,0.9674598841065354,0.03254011589346451,Class1
Class1,0.14747112082526584,0.8525288791747341,Class2
Class2,5.895584420732686e-5,0.9999410441557927,Class2
Class1,0.992097595650001,0.00790240434999896,Class1
Class2,0.13537162961566804,0.864628370384332,Class2
Class1,0.9773556962665969,0.02264430373340314,Class1
Class2,0.02371417748458651,0.9762858225154135,Class2
Class1,0.9781375663431057,0.021862433656894352,Class1
Class2,0.3977468545110937,0.6022531454889063,Class2
Class2,0.19009187930427615,0.8099081206957238,Class2
Class2,0.08920350595441474,0.9107964940455853,Class2
Class2,4.141195326011868e-4,0.9995858804673988,Class2
Class1,0.9983074405880938,0.0016925594119062241,Class1
Class1,0.9998534766027374,1.4652339726260925e-4,Class1
Class2,0.8463544236861904,0.15364557631380954,Class1
Class2,0.9039021867108312,0.0960978132891688,Class1
Class2,0.1157239375433625,0.8842760624566376,Class2
Class1,0.9840911546591294,0.015908845340870597,Class1
Class2,0.0013678404639586553,0.9986321595360413,Class2
Class1,0.9919245237287609,0.008075476271239054,Class1
Class2,0.022948744590076373,0.9770512554099237,Class2
Class2,0.2612947334813044,0.7387052665186956,Class2
Class2,0.17075068821008296,0.8292493117899171,Class2
Class2,0.008376660389403734,0.9916233396105962,Class2
Class1,0.937739648122645,0.062260351877355125,Class1
Class2,0.5776096180401602,0.42239038195983986,Class1
Class1,0.9333507585361961,0.06664924146380377,Class1
Class1,0.6935601245958825,0.3064398754041176,Class1
Class1,0.8108010621517638,0.1891989378482361,Class1
Class2,0.006861017398829012,0.9931389826011711,Class2
Class2,0.14456954020726348,0.8554304597927366,Class2
Class1,0.6100305512985845,0.3899694487014155,Class1
Class2,6.56483608619985e-4,0.9993435163913801,Class2
Class1,0.8818894614336366,0.11811053856636337,Class1
Class2,5.760854693687828e-4,0.9994239145306312,Class2
Class2,0.11211366587738363,0.8878863341226164,Class2
Class2,0.0027725876055220986,0.997227412394478,Class2
Class1,0.9743440712753275,0.025655928724672587,Class1
Class1,0.9830390325434945,0.016960967456505518,Class1
Class2,0.505095216628405,0.494904783371595,Class1
Class1,0.9993264223810958,6.735776189042426e-4,Class1
Class2,0.5902088239511649,0.40979117604883514,Class1
Class2,0.1627429782263085,0.8372570217736914,Class2
Class1,0.993417009316307,0.006582990683692938,Class1
Class1,0.9998905836324091,1.0941636759084105e-4,Class1
Class2,7.041412871848197e-4,0.9992958587128152,Class2
Class1,0.9999102503018871,8.974969811293127e-5,Class1
Class2,0.8005190951390629,0.19948090486093709,Class1
Class1,0.9928700253606334,0.00712997463936664,Class1
Class1,0.9647967804766552,0.035203219523344736,Class1
Class1,0.9978288167173953,0.0021711832826046347,Class1
Class2,0.5203139972748626,0.4796860027251374,Class1
Class1,0.9927598762208738,0.007240123779126212,Class1
Class1,0.9985039538632885,0.0014960461367114722,Class1
Class1,0.9801403924544426,0.019859607545557375,Class1
Class1,0.6551636971763376,0.34483630282366234,Class1
Class1,0.9461351511324081,0.05386484886759179,Class1
Class2,0.5777406460668867,0.4222593539331132,Class1
Class2,0.0042559122807435444,0.9957440877192565,Class2
Class1,0.7266242971719835,0.27337570282801654,Class1
Class2,1.285994487760151e-4,0.999871400551224,Class2
Class2,0.18907812640820887,0.8109218735917911,Class2
Class2,0.8020914989742349,0.19790850102576504,Class1
Class2,4.666481953275653e-4,0.9995333518046725,Class2
Class2,0.11491059397644116,0.8850894060235589,Class2
Class1,0.9955101571145671,0.004489842885432837,Class1
Class2,0.03256008364901124,0.9674399163509887,Class2
Class1,0.9152757215773449,0.08472427842265519,Class1
Class2,0.06483872008796487,0.9351612799120351,Class2
Class1,0.1062401298862513,0.8937598701137487,Class2
Class1,0.99957342211156,4.2657788844007827e-4,Class1
Class2,0.014038638927507629,0.9859613610724924,Class2
Class2,0.08565222070301388,0.9143477792969862,Class2
Class2,0.5180211770579596,0.4819788229420404,Class1
Class1,0.9623505339627212,0.0376494660372789,Class1
Class1,0.8374862532785549,0.1625137467214452,Class1
Class2,0.5594948597593496,0.44050514024065046,Class1
Class1,0.9798853466636122,0.020114653336387817,Class1
